id,cn_sample_weight,n_reten_time,n_response,n_rb,n_weight_m,n_weight_p,n_peak_type,c_reten_time,c_response,c_rb,c_weight_m,c_weight_p,c_peak_type,time_period,date,c3_c4,minimum_iso_sample_weight,optimal_iso_sample_weight,maximum_iso_sample_weight,iso_sample_weight,d13c_vpdb,Total_C,d15n_air,Total_N,CO2ppm,d13c_atm
GUMO22-007,NA,NA,NA,NA,NA,1.597,NA,NA,NA,NA,NA,44.14,NA,present,2022,c3,1.28,4.46,4.46,4.256,-28.44,1878.58,1.96,67.96,420.94,-8.62
GUMO22-009,2.036,2.232,60.289,A,0.03,1.461,Ordnr,3.608,5011.706,A,0.906,44.475,Ordnr,present,2022,c3,1.37,4.5,4.5,4.381,-27.01,1981.01,-3.05,65.12,420.94,-8.62
GUMO22-011,2.067,2.003,34.104,A,0.019,0.903,Ordnr,3.149,4219.903,A,0.937,45.342,Ordnr,present,2022,c3,2.22,4.41,4.41,3.783,-28.54,1613.7,-1.62,38.87,420.94,-8.62
GUMO22-013,3.392,2.265,81.324,A,0.04,1.182,Ordnr,3.56,7949.161,A,1.465,43.178,Ordnr,present,2022,c3,1.69,4.63,4.63,4.253,-27.17,1804.1,-2.57,53.74,420.94,-8.62
GUMO22-014,2.496,2.268,65.58,A,0.032,1.296,Ordnr,3.616,6568.771,A,1.199,48.038,Ordnr,present,2022,c3,1.54,4.16,4.16,3.492,-28.14,1646.84,-1.66,47.68,420.94,-8.62
GUMO22-031,2.781,1.995,91.028,A,0.052,1.863,Ordnr,3.124,5144.064,A,1.151,41.383,Ordnr,present,2022,c3,1.08,4.83,4.83,4.399,-27.92,1801.4,2.14,93.16,420.94,-8.62
GUMO22-032,2.317,1.988,61.47,A,0.035,1.495,Ordnr,3.137,4553.44,A,1.014,43.761,Ordnr,present,2022,c4,1.33,4.57,4.57,4.263,-13.71,1857.13,-1.4,72.96,420.94,-8.62
GUMO22-033,2.562,2.247,52.146,A,0.026,1.004,Ordnr,3.567,6641.691,A,1.213,47.343,Ordnr,present,2022,c3,2,4.22,4.22,3.537,-26.66,1670.43,-2.62,40.82,420.94,-8.62
GUMO22-076,3.128,2.259,47.643,A,0.024,0.752,Ordnr,3.531,8157.279,A,1.505,48.117,Ordnr,present,2022,c3,2.67,4.16,4.16,3.967,-28.02,1918.1,-3.62,36.88,420.94,-8.62
GUMO22-077,3.4,2.255,138.661,A,0.068,2.005,Ordnr,3.523,8686.984,A,1.609,47.315,Ordnr,present,2022,c3,1,4.23,4.23,4.096,-26.18,1888.62,-3,81.7,420.94,-8.62
